English,FL,FL_Alt,English_Alt
a,eda,,
abilities,teregerir,,
ability,syka,,
accelerating,tesideende,,
accelerator,rerel,,
accelerators,anori,,
according,nereende,,
across,lin,,
activity,iskaynær,,
adding,gyfateende,,
addition,aelysijk,,
adequate,dryser,,
advance,stak,,
advanced,dyneraethitt,,
against,iker,,
agricultural,yriona,,
aim,ilogit,,
aiming,imaende,,
air,ørit,,
airborne,grone,,
airplane,topod,,
all,feterer,,
allow,dore,,
allowed,fekeitt,,
already,desieh,,
also,gweser,,
altered,drydieditt,,
although,titiler,,
among,ader,,
an,yron,,since
ancient,dag,,
and,beni,,
another,kaeshaf,,
antarctica,antartika,,
any,vimedo,,
appear,ekaelo,,
appears,perer,,
archaeologist,enon,,
are,eshe,,
area,derove,,
argument,adetaf,,
artillery,elle,,
aside,aeshef,,
assess,tung,,
assessment,omiven,,
associated,recynacitt,,
asteroengineering,asteroengineering,,
aware,esid,,
bad,hyt,,
ballistic,loga,,
banned,tioniluititt,,
based,elihallitt,,
bases,derer,,
be,oraelaeth,,
beams,ase,,
became,vese,,
because,tise,,
been,rogige,,
being,ginerende,,
between,fania,,
beyond,aû,,
biotechnology,igilia,,
blind,medafo,,
blinding,gededenende,,
boost,igating,,
both,anaether,,
buddhist,enite,,
built,ioved,,
bursts,dak,,
but,fejo,,
by,sayn,,
calcium,søri,,
called,neritt,,
can,ømedø,,
capital,gere,,
case,kec,,
cases,selig,,
cataclysmic,brogan,,
causal,erec,,
cause,ife,,
cell,arhyp,,
challenges,mesar,,
changes,ukem,,
cheaper,aningin,,
chemical,keleri,,
circle,ringe,,
circuitry,ateng,,
civilization,kaeshendijk,,
civilizations,orane,,
classified,dalitt,,
coarse,meb,,
coil,eneddrypå,,
collect,thet,,
combination,ileddynijk,,
commonly,ferele,,
communication,ingondaijk,,
components,lyne,,
computer,ikaik,,
conducting,medetende,,
confirm,eremed,,
connected,riaraethitt,,
consists,odyri,,
constituent,eryraddyr,,
consumption,igesydijk,,
container,temet,,
continued,tenuditt,,
continuing,terilsende,,
contrast,ekaror,,
control,liadis,,
controllable,rhylsewyd,,
conventional,logi,,
cosmological,rhygud,,
could,amol,,
course,adyri,,
creation,ledseskeijk,,
criteria,ece,,
currently,ingie,,
daily,chiol,,
dark,løe,,
date,igien,,
day,ered,,
death,ded,,
decontamination,esiliaijk,,
defence,selor,,
defending,rerende,,
defense,deyfse,,
deliver,angeskar,,
demonstrate,entiker,,
desert,aeshenå,,
despite,sidayn,,
destroy,ordesaeth,,
destructive,rhyfage,,
detect,enypir,,
deuterium,bleser,,
developed,ingamitt,,
development,rineryn,,
dimensions,eddans,,
directed,uitiwitt,,
distances,efi,,
distinguish,ketaesh,,
do,aeshafaf,,
down,mit,,
drinking,bodørende,,
during,iteditt,,
each,fatog,,
earth,deman,,earths
earths,deman,,earth
easier,kota,,
economy,neding,,
effective,lingene,,
effects,iken,,
efficient,deraf,,
electric,arse,,
electrophysiology,elektrofisiologijk,,
emission,aeshan,,
emissions,eæra,,
empirical,esilla,,
employ,eme,,
enemy,kotor,,
energetic,fak,,
energetically,umer,,
energy,andorem,,
engine,arael,,
engineering,rekaende,,
entered,ligaustiitt,,
enteric,enterike,,
entering,fodelsefende,,
entities,yddydatir,,
environment,nel,,
escaping,eleresende,,
established,bedeitt,,
estimated,otiitt,,
estimates,denin,,
ethical,tas,,
ethically,æins,,
even,addyrorod,,
events,drylolo,,
example,isen,,
existence,dresa,,
experience,ninise,,
explanation,nielengijk,,
exploiting,endedeninende,,
explorative,eksploratijk,,
explore,atal,,
exploring,telsekende,,
exponential,skerop,,
extensive,arar,,
extrapolated,iwetitt,,
extrapolating,gerurende,,
facing,oryrende,,
failure,cynen,,
far,elali,,
fast,nila,,
feasible,oraihe,,
features,brynynaesh,,
fecal,fekale,,
field,kerels,,
fields,artael,,
findings,rar,,
finiteness,cynæe,,
first,erekæ,,
fluoride,deser,,
flying,delsestende,,
follows,lulo,,
for,ti,,
form,ner,,
foster,gema,,
fraction,desudijk,,
from,eno,,
functional,dener,,
fundamental,tahe,,
further,nus,,
future,aethij,,
galaxies,tilåtsir,,
galaxy,rener,,
gamma,lilar,,
general,anatu,,
generally,kedsever,,
generated,anegesitt,,
geomagnetic,upe,,
get,lera,,
global,desomed,,
gram,agedyr,,
greater,allerie,,
grid,stide,,
ground,gwede,,
guarantee,dekte,,
hampered,tanomitt,,
hard,prist,,
harness,ingelan,,
harnesses,liaske,,
has,sheke,,
have,mes,,
health,intaddyryn,,
heat,tedsele,,
held,decede,,
high,ernåaddyr,,
higher,shitef,,
highly,ifora,,
horizontally,vaselse,,
hostile,aeshes,,
how,edelil,,
however,efa,,
human,rense,,
humanitarian,lellegw,,
hundred,eraeloitt,,
if,mehe,,
ignored,nedenitt,,
imaging,elomellende,,
implication,esanaelijk,,
importance,kanen,,
impulsive,ahar,,
in,neste,yneter,"is, turn"
include,oseno,,
including,deh,,
increase,ledd,,
indeed,keneitt,,
indicate,eneryn,,
indicates,fodene,,
indication,genidyijk,,
individual,riate,,
industrial,foreru,,
infected,detositt,,
information,edebeijk,,
infrared,ogetiitt,,
insight,ipåee,,
insights,thoger,,
intelligence,aetheva,,
intended,deneitt,,
